PROLIFIC_PID,id,PID,date,timer_total,age,gender,gender_open,rururb01,rururb02,rururb02_open,rururb03,education,party,party_open,party_closer,party_preference,party_strength,party_importance,party_importance_raw,affpol_raw,affpol_weighted,valence_democrats,valence_republicans,arousal_democrats,arousal_republicans,condition,outparty_estimate,deviation,control_est_dem,control_est_rep,treat_est_dem_01,treat_est_dem_02,treat_est_dem_03,treat_est_rep_01,treat_est_rep_02,treat_est_rep_03,k_rural,k_urban,k_ingroup,k_outgroup,k_mean,k_outgroup_ingroup,beta,manip_check_01,democratic_support,freefair,freefair_raw,ethnicity01,ethnicity02,ethnicity_open,income,treat_dem_surprise,treat_rep_surprise,treat_dem_credible,treat_rep_credible,purpose,feedback,pre_commitment,pre_attention,post_attention,max_boxes,easy65,hard80,hard95,work_total,work_voteurban,work_voterural,work_ingroup,work_outgroup,work_difference,democratic_support_raw,antidemocratic_01,antidemocratic_02,antidemocratic_03,antidemocratic_04,democratic_01,democratic_02,democratic_03,democratic_04,freefair_01,freefair_02,freefair_02_r,inparty,outparty
242,R_5wto9ELXAO0sG9u,P411,24/02/2026 20:02,708,55,Woman,,Suburb,Suburb,,3,Postgraduate degree,Democrat,,NA,Democrat,Strong,1.10842928930326,99,0.679428751077218,0.789970551483356,71,1,50,100,Control,1,-3,Almost never,NA,NA,NA,NA,NA,NA,NA,1.27959773696855,0.222457043626268,0.222457043626268,1.27959773696855,0.7510273902974091,1.057140693342282,3.88031538495029,Republican,0.898803886414699,0.293190368150917,9,White,NA,,"$90,000 to $99,999",NA,NA,NA,NA,I thought it was an interesting way to promote democratic engagement. ,,"Yes, I will",passed,passed,21,14,17,20,9,8,1,8,1,7,400,0,0,0,0,100,100,100,100,4,1,5,Democrat,Republican
244,R_3oOUQFQKRl4BmHn,P255,24/02/2026 20:04,954,73,Woman,,Suburb,Suburb,,3,4-year college degree,Democrat,,NA,Democrat,Strong,0.73023780222315,90,1.23082522495525,-0.545723969708808,86,0,83,3,Treatment,1,-3,NA,NA,Almost never,Often,NA,NA,NA,NA,0.129838672167674,0.143050040816356,0.143050040816356,0.129838672167674,0.136444356492015,-0.013211368648681998,4.79056784826987,Republican,0.589833458668647,0.939203043737683,10,White,NA,,"$40,000 to $49,999",38,NA,68,NA,"It was uplifting, and shows hope for future elections.",N/A,"Yes, I will",passed,passed,17,11,14,16,18,9,9,9,9,0,373,7,5,15,0,93,95,85,100,5,1,5,Democrat,Republican
245,R_3Rpy1aHD93a0GD9,P193,24/02/2026 20:05,679,22,Man,,Suburb,Rural,,5,High school,Democrat,,NA,Democrat,Not very strong,-0.0261451719370734,72,-1.56061942405227,-1.38255166351331,60,55,25,25,Treatment,4,0,NA,NA,Often,NA,NA,NA,NA,NA,0.129832511707404,0.148894127647689,0.148894127647689,0.129832511707404,0.1393633196775465,-0.019061615940284993,4.69516248398485,Democrat,0.898803886414699,0.939203043737683,10,White,NA,,"$80,000 to $89,999",65,NA,60,NA,Fun,,"Yes, I will",passed,passed,31,20,25,29,16,8,8,8,8,0,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
246,R_6hxrHHvnwf4rHbP,P513,24/02/2026 20:06,876,61,Man,,Small town,Small-town,,4,4-year college degree,Democrat,,NA,Democrat,Strong,1.1504505656455,100,1.71329713959852,-0.388931895163427,100,0,100,3,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,0.248921893935348,0.160123020082451,0.160123020082451,0.248921893935348,0.20452245700889948,0.088798873852897,4.76693084477755,Republican,-0.245531031163273,0.939203043737683,10,White,NA,,"$100,000 to $149,999",100,NA,0,NA,I felt it ok,the click game was fun,"Yes, I will",passed,passed,23,15,18,22,16,8,8,8,8,0,300,0,0,100,0,100,100,0,100,5,1,5,Democrat,Republican
247,R_3hTltKtblvZt8KU,P238,24/02/2026 20:09,731,21,Woman,,Suburb,City,,3,"College, but not degree",Democrat,,NA,Democrat,Strong,-0.530400488043889,60,-0.00981684127031756,0.0771719861631425,60,10,50,80,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,1.22850651558493,0.201670933257921,0.201670933257921,1.22850651558493,0.7150887244214255,1.026835582327009,2.96335238255846,Republican,-0.35996452292107,-0.352822307435849,8,White,NA,,"$10,000 to $19,999",NA,NA,NA,NA,good,nope!,"Yes, I will",passed,passed,16,10,13,15,9,7,2,7,2,5,290,0,50,50,10,100,50,50,90,5,3,3,Democrat,Republican
248,R_1mlAIo4atyNPehY,P98,24/02/2026 20:15,1078,56,Woman,,Suburb,Suburb,,2,2-year college degree,Democrat,,NA,Democrat,Not very strong,-2.67348558149785,9,-1.35384574634801,-1.17176001197667,17,6,50,51,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,0.708531589719629,0.789494079183912,0.789494079183912,0.708531589719629,0.7490128344517706,-0.08096248946428297,3.10613166039203,Republican,0.383853173504612,-0.352822307435849,8,White,NA,,"$20,000 to $29,999",83,NA,25,NA,Stressful,No,"Yes, I will",passed,passed,12,8,10,11,7,3,4,3,4,-1,355,7,6,25,7,93,94,75,93,4,2,4,Democrat,Republican
249,R_7B9L6HuE5fMfdHb,P564,24/02/2026 20:17,959,63,Man,,Small town,Small-town,,1,Postgraduate degree,Republican,,NA,Republican,Not very strong,-1.0346558041507,48,-1.42277030558277,-1.22979252583188,50,59,48,52,Control,2,-2,NA,Rarely,NA,NA,NA,NA,NA,NA,0.287080502818864,1.23126224708917,0.287080502818864,1.23126224708917,0.759171374954017,0.9441817442703061,2.82438413842454,Democrat,0.898803886414699,0.939203043737683,10,White,NA,,"$60,000 to $69,999",NA,NA,NA,NA,Interesting ,All elections should be conducted fairly no matter party you support ,"Yes, I will",passed,passed,25,16,20,24,9,1,8,8,1,7,400,0,0,0,0,100,100,100,100,5,1,5,Republican,Democrat
25,R_3Oy1OBEfGoXEsz3,P186,24/02/2026 16:45,686,34,Man,,Suburb,Small-town,,2,4-year college degree,Democrat,,NA,Democrat,Strong,0.0999186570896305,75,0.0935699975818128,0.0152497633061022,55,2,36,83,Control,1,-3,Almost never,NA,NA,NA,NA,NA,NA,NA,0.399477722260934,0.409172646475129,0.409172646475129,0.399477722260934,0.4043251843680315,-0.009694924214195044,3.4210757100138,Republican,0.887360537238919,0.939203043737683,10,White,NA,,"$70,000 to $79,999",NA,NA,NA,NA,Repetitive ,,"Yes, I will",passed,passed,35,23,28,33,12,5,7,5,7,-2,399,0,1,0,0,100,99,100,100,5,1,5,Democrat,Republican
250,R_31Z3oorOhD4jLbo,P138,24/02/2026 20:18,807,72,Woman,,City,City,,3,4-year college degree,Republican,,NA,Republican,Strong,0.73023780222315,90,0.403730514138204,0.35740726378933,32,94,39,96,Treatment,2,-2,NA,NA,NA,NA,NA,Rarely,Sometimes,Sometimes,0.12826411470525,0.333438245322838,0.12826411470525,0.333438245322838,0.230851180014044,0.205174130617588,3.72517997826523,Republican,-0.0395507459992382,-0.352822307435849,8,White,NA,,"$100,000 to $149,999",NA,83,NA,52,very repetitive,,"Yes, I will",passed,passed,18,12,14,17,15,7,8,8,7,1,318,19,11,50,2,81,89,50,98,5,3,3,Republican,Democrat
251,R_3A0ZS9h1CKWL4jO,P162,24/02/2026 20:21,1104,35,Man,,City,City,,5,2-year college degree,Republican,,NA,Republican,Not very strong,1.1504505656455,100,0.12803227719919,0.210319965570949,46,100,45,100,Treatment,3,-1,NA,NA,NA,NA,NA,Sometimes,Often,NA,0.257617054553434,0.31931695617424,0.257617054553434,0.31931695617424,0.28846700536383696,0.06169990162080602,2.02674791934809,Republican,0.887360537238919,0.939203043737683,10,White,NA,,"$90,000 to $99,999",NA,90,NA,54,"I felt good, knowing that my donation will be used for a good cause. ",No comments,"Yes, I will",passed,passed,33,21,26,31,14,7,7,7,7,0,399,0,0,1,0,100,100,99,100,5,1,5,Republican,Democrat
252,R_61hGAVSk018hfGk,P422,24/02/2026 20:23,980,59,Woman,,Suburb,Suburb,,2,4-year college degree,Democrat,,NA,Democrat,Strong,-0.950613251466235,50,1.19636294533787,0.911208160293054,90,5,50,50,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,1.33006820655593,0.747708156077285,0.747708156077285,1.33006820655593,1.0388881813166075,0.5823600504786449,3.46163554970183,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"$50,000 to $59,999",NA,NA,NA,NA,The task was fine. I got zero on one accidentally because I missed clicking the box in 4 seconds because I just literally missed with mouse clicker twice and then it was gone. It was for a rural area and I was actually going to do it though I think overall I did more urban areas.,,"Yes, I will",passed,passed,18,12,14,17,5,4,1,4,1,3,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
253,R_6SLScHlTxD0IMq5,P490,24/02/2026 20:23,1492,34,Woman,,City,Rural,,4,"College, but not degree",Republican,,NA,Republican,Strong,-0.110187724621543,70,0.644966471459841,0.728696958813942,10,79,60,71,Control,2,-2,NA,Rarely,NA,NA,NA,NA,NA,NA,0.245398018503883,0.78555826598713,0.245398018503883,0.78555826598713,0.5154781422455065,0.540160247483247,1.7555649354819,Republican,-1.97347675670601,0.293190368150917,9,"Hispanic, Latino, or Spanish origin",NA,,"$10,000 to $19,999",NA,NA,NA,NA,pretty good simple easy way both parties deserve to have voters come out and raise their voice but must have voter id to help ensure fraud doesnt happen ,,"Yes, I will",passed,passed,38,25,30,36,10,3,7,7,3,4,149,51,80,100,20,49,20,0,80,4,1,5,Republican,Democrat
254,R_3OovMte96wXOmZD,P185,24/02/2026 20:27,905,69,Man,,Small town,Suburb,,1,"College, but not degree",Republican,,NA,Republican,Strong,0.141939933431865,76,0.748353310311971,1.03455141254113,16,88,87,70,Treatment,3,-1,NA,NA,NA,NA,NA,Sometimes,Often,NA,0.496108048943551,0.492621816313658,0.496108048943551,0.492621816313658,0.4943649326286045,-0.0034862326298930046,1.66245146016794,Republican,0.669936902899105,0.293190368150917,9,White,NA,,"$50,000 to $59,999",NA,48,NA,47,It was fun but took me a while to figure out (I'd do much better on a subsequent try). ,"You're not American (the word ""programme"" is just one tell) but you're interested in American politics. Would I reciprocate by trying to understand what's on the minds of voters in...Amsterdam?","Yes, I will",passed,passed,15,10,12,14,10,4,6,6,4,2,380,1,11,4,4,99,89,96,96,5,2,4,Republican,Democrat
255,R_331q4uht4agsEYU,P146,24/02/2026 20:27,1494,67,Woman,,Suburb,City,,3,4-year college degree,Democrat,,NA,Democrat,Strong,0.898322907592088,94,1.50652346189426,2.13072022026754,96,2,94,94,Control,2,-2,Rarely,NA,NA,NA,NA,NA,NA,NA,1.49551305716282,0.235701580128057,0.235701580128057,1.49551305716282,0.8656073186454385,1.2598114770347628,4.48231039159781,Republican,0.669936902899105,0.939203043737683,10,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,it was fun,no,"Yes, I will",passed,passed,12,8,10,11,6,6,0,6,0,6,380,4,7,5,4,96,93,95,96,5,1,5,Democrat,Republican
256,R_3o4Kp5zMBpshRov,P252,24/02/2026 20:30,1475,43,Man,,City,Rural,,4,Postgraduate degree,Democrat,,NA,Democrat,Strong,0.856301631249854,93,1.23082522495525,1.62672769181684,95,9,93,75,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,1.0730895020070499,0.73189372432218,0.73189372432218,1.0730895020070499,0.902491613164615,0.34119577768486986,2.87221700782661,Republican,0.898803886414699,0.939203043737683,10,Black or African-American,NA,,"$80,000 to $89,999",36,NA,69,NA,I found it easy to do but a little tedious,,"Yes, I will",passed,passed,39,25,31,37,5,3,2,3,2,1,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
257,R_3h0cEaYKm50YVoc,P236,24/02/2026 20:30,900,47,Man,,Small town,Small-town,,4,High school,Democrat,,NA,Democrat,Not very strong,-1.45486856757305,38,-0.94029839093949,-0.872673550144677,63,40,55,37,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,0.737034232007929,0.557134133571415,0.557134133571415,0.737034232007929,0.647084182789672,0.179900098436514,1.95425521128119,Republican,0.750040347129563,0.939203043737683,10,White,NA,,"$30,000 to $39,999",NA,NA,NA,NA,fun,no,"Yes, I will",passed,passed,21,14,17,20,9,4,5,4,5,-1,387,1,1,7,4,99,99,93,96,5,1,5,Democrat,Republican
258,R_1HIHXWfhheSxORc,P45,24/02/2026 20:30,776,46,Man,,Suburb,Suburb,,1,Postgraduate degree,Democrat,,NA,Democrat,Strong,0.856301631249854,93,-0.802449272469983,-0.667515623379552,36,9,68,50,Treatment,3,-1,NA,NA,Sometimes,Often,NA,NA,NA,NA,1.26148037277507,0.541054142744215,0.541054142744215,1.26148037277507,0.9012672577596426,0.720426230030855,4.48030725921779,Republican,-1.08089552099519,0.939203043737683,10,White,NA,,"$100,000 to $149,999",2,NA,83,NA,meh,no,"Yes, I will",passed,passed,14,9,11,13,6,5,1,5,1,4,227,31,92,31,19,69,8,69,81,5,1,5,Democrat,Republican
259,R_3iakIIvUBsFO2Z3,P243,24/02/2026 20:31,705,34,Woman,,City,Small-town,,1,Postgraduate degree,Democrat,,NA,Democrat,Strong,-0.110187724621543,70,0.507117352990334,0.877116502518919,70,5,72,100,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,1.1177292387537,0.246322782130896,0.246322782130896,1.1177292387537,0.6820260104422979,0.8714064566228039,4.39514832596849,Republican,0.85303048971158,0.939203043737683,10,White,NA,,"$80,000 to $89,999",NA,NA,NA,NA,It was a pretty easy task,N/A,"Yes, I will",passed,passed,27,18,22,26,10,8,2,8,2,6,396,0,4,0,0,100,96,100,100,5,1,5,Democrat,Republican
26,R_3c1uxU48hjYYQ4n,P214,24/02/2026 16:45,600,49,Woman,,Suburb,Suburb,,1,"College, but not degree",Democrat,,NA,Democrat,Strong,0.814280354907619,92,1.02405154725099,1.33511265844836,80,0,70,90,Treatment,1,-3,NA,NA,Almost never,Often,NA,NA,NA,NA,0.129839875562711,0.143049893485678,0.143049893485678,0.129839875562711,0.1364448845241945,-0.013210017922966999,4.79056542315395,Republican,0.898803886414699,-0.352822307435849,8,White,NA,,"$20,000 to $29,999",100,NA,50,NA,I thought it was challenging,,"Yes, I will",passed,passed,34,22,27,32,18,9,9,9,9,0,400,0,0,0,0,100,100,100,100,4,2,4,Democrat,Republican
260,R_32FmyveSxIbcRgc,P143,24/02/2026 20:32,617,33,Woman,,Rural area,Suburb,,2,High school,Democrat,,NA,Democrat,Not very strong,-1.20274090951964,44,-1.18153434826113,-1.06017719959708,48,64,46,42,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,0.521068801833425,0.707828706206694,0.707828706206694,0.521068801833425,0.6144487540200595,-0.18675990437326906,1.42612082578421,Democrat,0.509730014438189,0.939203043737683,10,White,NA,,"$20,000 to $29,999",NA,NA,NA,NA,Interesting ,Na,"Yes, I will",passed,passed,18,12,14,17,10,4,6,4,6,-2,366,11,8,7,8,89,92,93,92,5,1,5,Democrat,Republican
261,R_3Qik3cefWF6pUrw,P189,24/02/2026 20:32,841,44,Woman,,City,City,,5,Postgraduate degree,Democrat,,NA,Democrat,Strong,1.1504505656455,100,1.33421206380738,0.346720833094415,99,10,89,15,Treatment,3,-1,NA,NA,Sometimes,Often,NA,NA,NA,NA,0.129797491705414,0.143242653100306,0.143242653100306,0.129797491705414,0.13652007240286002,-0.013445161394892019,4.78536271610401,Republican,-0.749038394897581,-0.352822307435849,8,White,NA,,"$80,000 to $89,999",39,NA,40,NA,fun,no,"Yes, I will",passed,passed,38,25,30,36,17,8,9,8,9,-1,256,31,59,50,4,69,41,50,96,4,2,4,Democrat,Republican
262,R_6GjRcIIarHJPkuo,P459,24/02/2026 20:34,658,51,Man,,Suburb,Suburb,,3,Postgraduate degree,Republican,,NA,Republican,Not very strong,-0.99263452780847,49,0.12803227719919,0.152018069259965,19,73,67,51,Treatment,3,-1,NA,NA,NA,NA,NA,Sometimes,Often,NA,0.219137644948786,0.137553982238443,0.219137644948786,0.137553982238443,0.1783458135936145,-0.08158366271034298,4.02190352614321,Republican,-1.77893982071776,-0.998834983022615,7,White,NA,,"$150,000 or more",NA,45,NA,57,It was easy. ,No thank you. ,"Yes, I will",passed,passed,19,12,15,18,17,9,8,8,9,-1,166,61,59,63,51,39,41,37,49,3,2,4,Republican,Democrat
263,R_6lPvmWqyft2dHwp,P519,24/02/2026 20:34,1189,74,Man,,Small town,Small-town,,3,4-year college degree,Republican,,NA,Republican,Not very strong,-0.0261451719370734,72,-0.0442791208876943,-0.344723530403611,23,72,21,81,Control,3,-1,NA,Sometimes,NA,NA,NA,NA,NA,NA,0.224316201541779,0.296118700306877,0.224316201541779,0.296118700306877,0.260217450924328,0.07180249876509798,2.46761584061667,Republican,-1.42419599626858,0.293190368150917,9,White,NA,,"$60,000 to $69,999",NA,NA,NA,NA,easy,was easy than I thought,"Yes, I will",passed,passed,12,8,10,11,14,6,8,8,6,2,197,42,49,41,71,58,51,59,29,4,1,5,Republican,Democrat
264,R_70V2vGo4VjaGpfL,P547,24/02/2026 20:34,828,59,Woman,,Small town,Suburb,,2,4-year college degree,Democrat,,NA,Democrat,Strong,0.310025038800804,80,0.507117352990334,0.833285600005828,70,5,70,95,Control,2,-2,Rarely,NA,NA,NA,NA,NA,NA,NA,0.130380760904879,0.253816995972347,0.253816995972347,0.130380760904879,0.192098878438613,-0.12343623506746804,4.85740761064448,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"$90,000 to $99,999",NA,NA,NA,NA,I felt very proud that I could help.,,"Yes, I will",passed,passed,15,10,12,14,17,8,9,8,9,-1,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
265,R_7YxfP27NiBPXdZT,P602,24/02/2026 20:34,707,19,Man,,Suburb,Suburb,,1,High school,Democrat,,NA,Democrat,Strong,0.310025038800804,80,-1.04368522979162,-0.808916098609879,20,0,60,90,Treatment,4,0,NA,NA,Often,NA,NA,NA,NA,NA,0.13000532783711,0.143021689922294,0.143021689922294,0.13000532783711,0.13651350887970198,-0.013016362085184002,4.78639354438038,Republican,-1.97347675670601,-2.93687300978291,4,White,NA,,"$80,000 to $89,999",85,NA,65,NA,Fun.,,"Yes, I will",passed,passed,21,14,17,20,17,9,8,9,8,1,149,80,30,70,71,20,70,30,29,1,3,3,Democrat,Republican
266,R_7itbncGTXYtH2pv,P628,24/02/2026 20:35,1007,72,Woman,,City,Rural,,3,"College, but not degree",Democrat,,NA,Democrat,Not very strong,0.0999186570896305,75,0.679428751077218,0.753539638544923,85,15,70,60,Treatment,1,-3,NA,NA,Almost never,Often,NA,NA,NA,NA,1.49558278060214,0.23519441277448,0.23519441277448,1.49558278060214,0.86538859668831,1.26038836782766,4.48867979381332,Republican,-0.989348727588955,0.939203043737683,10,Black or African-American,NA,,"Less than $10,000",99,NA,5,NA,Kind of fun,Nothing to add here.,"Yes, I will",passed,passed,12,8,10,11,8,8,0,8,0,8,235,10,60,80,15,90,40,20,85,5,1,5,Democrat,Republican
267,R_52LS4lRAfh8NJmw,P294,24/02/2026 20:37,1071,30,Woman,,Suburb,Suburb,,2,"College, but not degree",Democrat,,NA,Democrat,Not very strong,-0.068166448279308,71,-0.905836111322114,-0.83851782006757,72,48,48,43,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,0.34990418968241,0.14326397453541,0.14326397453541,0.34990418968241,0.24658408210891,0.20664021514699998,4.82246461825488,Republican,-1.55007283720216,-0.352822307435849,8,Black or African-American,NA,,"$40,000 to $49,999",NA,NA,NA,NA,easy,,"Yes, I will",passed,passed,27,18,22,26,15,9,6,9,6,3,186,30,70,39,75,70,30,61,25,4,2,4,Democrat,Republican
268,R_1H0huOS2Hj3OhbA,P44,24/02/2026 20:38,644,21,Woman,,Rural area,Other,I don't identify with any of these labels and have never thought about myself like this,NA,"College, but not degree",Democrat,,NA,Democrat,Strong,-1.37082601488858,40,0.0246454383470592,-0.200729037233443,51,0,25,92,Control,1,-3,Almost never,NA,NA,NA,NA,NA,NA,NA,1.00284866294243,0.380337332391956,0.380337332391956,1.00284866294243,0.6915929976671931,0.622511330550474,3.02423955709797,Republican,0.784370394656902,0.293190368150917,9,White,NA,,"$100,000 to $149,999",NA,NA,NA,NA,Tedious,Clicking 24 boxes is very hard on my laptop which does not have a mouse,"Yes, I will",passed,passed,25,16,20,24,9,6,3,6,3,3,390,0,10,0,0,100,90,100,100,4,1,5,Democrat,Republican
269,R_6U0fxtGEyRW03I8,P494,24/02/2026 20:38,1108,36,Woman,,Suburb,Suburb,,2,"College, but not degree",Republican,,NA,Republican,Not very strong,-0.614443040728358,58,0.300343675286073,0.0159697014562507,10,69,58,31,Control,1,-3,NA,Almost never,NA,NA,NA,NA,NA,NA,0.500393804754654,0.246874934854961,0.500393804754654,0.246874934854961,0.3736343698048075,-0.25351886989969297,4.4265345110672,Republican,0.692823601250664,-0.352822307435849,8,White,NA,,"$60,000 to $69,999",NA,NA,NA,NA,Interesting and challenging ,None,"Yes, I will",passed,passed,43,28,34,41,14,8,6,6,8,-2,382,1,6,6,5,99,94,94,95,4,2,4,Republican,Democrat
27,R_1nPkT9t8b0I2YJv,P102,24/02/2026 16:47,976,35,Woman,,City,Suburb,,3,4-year college degree,Democrat,,NA,Democrat,Strong,0.520131420511977,85,-0.00981684127031756,-0.351771362168186,70,20,20,75,Treatment,4,0,NA,NA,Often,NA,NA,NA,NA,NA,0.266161606493898,0.345413296179677,0.345413296179677,0.266161606493898,0.3057874513367875,-0.079251689685779,2.3484730026467,Republican,0.669936902899105,0.293190368150917,9,White,NA,,"$100,000 to $149,999",45,NA,20,NA,Anxiety inducing ,,"Yes, I will",passed,passed,15,10,12,14,12,7,5,7,5,2,380,0,20,0,0,100,80,100,100,5,2,4,Democrat,Republican
270,R_3ahQ7wXpMwF0Uqo,P211,24/02/2026 20:39,745,18,Other,Non-binary,Small town,Small-town,,2,2-year college degree,Democrat,,NA,Democrat,Strong,0.225982486116334,78,0.679428751077218,0.788335257787975,80,10,60,75,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,1.50259627676565,1.40982876042645,1.40982876042645,1.50259627676565,1.45621251859605,0.0927675163392001,5.43355103707161,Republican,0.44106991938351,0.939203043737683,10,White,NA,,"Less than $10,000",70,NA,41,NA,simple,,"Yes, I will",passed,passed,22,14,18,21,0,0,0,0,0,0,360,0,40,0,0,100,60,100,100,5,1,5,Democrat,Republican
271,R_7WPeHAL14XKOWUG,P600,24/02/2026 20:40,644,20,Man,,City,City,,3,High school,Democrat,,NA,Democrat,Not very strong,-1.20274090951964,44,-1.73293082213916,-1.48311397446812,60,60,35,35,Treatment,2,-2,NA,NA,Rarely,Often,NA,NA,NA,NA,0.463830004241633,0.13183865675633,0.13183865675633,0.463830004241633,0.2978343304989815,0.331991347485303,3.32217831234518,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"Less than $10,000",75,NA,20,NA,Intriguing,N/A,"Yes, I will",passed,passed,26,17,21,25,15,9,6,9,6,3,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
273,R_1LB9AVtSWw6nIeN,P52,24/02/2026 20:40,869,32,Woman,,Suburb,Suburb,,2,4-year college degree,Democrat,,NA,Democrat,Not very strong,-0.068166448279308,71,0.0935699975818128,-0.288393830502499,74,21,19,88,Treatment,2,-2,NA,NA,Rarely,Sometimes,Often,NA,NA,NA,0.502286568135176,0.438664900195552,0.438664900195552,0.502286568135176,0.47047573416536403,0.06362166793962404,5.11726814719339,Republican,-0.325634475393731,-0.352822307435849,8,White,NA,,"$50,000 to $59,999",68,NA,32,NA,odd,,"Yes, I will",passed,passed,22,14,18,21,10,6,4,6,4,2,293,22,42,24,19,78,58,76,81,4,2,4,Democrat,Republican
274,R_63EZ2zp1p1zSfhn,P428,24/02/2026 20:40,589,36,Man,,Suburb,Suburb,,1,2-year college degree,Democrat,,NA,Democrat,Not very strong,-0.278272829990481,66,0.369268234520827,0.0738550483556065,66,5,27,82,Treatment,3,-1,NA,NA,Sometimes,Often,NA,NA,NA,NA,1.38478246682447,0.44312332006710897,0.44312332006710897,1.38478246682447,0.9139528934457894,0.941659146757361,3.36503235599055,Republican,0.0634393965827793,0.293190368150917,9,White,"Hispanic, Latino, or Spanish origin",,"$30,000 to $39,999",61,NA,12,NA,Boring,,"Yes, I will",passed,passed,30,20,24,29,7,6,1,6,1,5,327,0,41,0,32,100,59,100,68,4,1,5,Democrat,Republican
275,R_3fZTDF9AyWk09Hd,P231,24/02/2026 20:41,861,31,Man,,Rural area,Small-town,,1,"College, but not degree",Democrat,,NA,Democrat,Not very strong,-0.320294106332716,65,0.33480595490345,0.365403983668306,85,25,66,55,Control,1,-3,Almost never,NA,NA,NA,NA,NA,NA,NA,1.50367234555186,0.442953949581199,0.442953949581199,1.50367234555186,0.9733131475665294,1.060718395970661,5.39438331608238,Republican,0.898803886414699,0.939203043737683,10,White,NA,,"$20,000 to $29,999",NA,NA,NA,NA,I thought it was pretty interesting that it gave me a goal to work towards (favoring the democratic areas),"Everything went smooth, no issues at all. ","Yes, I will",passed,passed,37,24,30,35,6,6,0,6,0,6,400,0,0,0,0,100,100,100,100,5,1,5,Democrat,Republican
276,R_6AG5U4ftcHZJFDX,P438,24/02/2026 20:41,932,37,Woman,,City,Rural,,3,"College, but not degree",Democrat,,NA,Democrat,Not very strong,-0.99263452780847,49,0.851740149164102,1.00066357159637,88,13,76,64,Treatment,4,0,NA,NA,Often,NA,NA,NA,NA,NA,1.26005178564359,1.0797663010101,1.0797663010101,1.26005178564359,1.1699090433268449,0.18028548463349003,4.61708208075452,Republican,0.87591718806314,0.939203043737683,10,White,NA,,"$20,000 to $29,999",73,NA,58,NA,I found it rushed and difficult.,No,"Yes, I will",passed,passed,20,13,16,19,3,2,1,2,1,1,398,1,0,0,1,99,100,100,99,5,1,5,Democrat,Republican
277,R_1JLA17RYVSK90LB,P47,24/02/2026 20:43,804,27,Man,,Rural area,City,,1,Postgraduate degree,Democrat,,NA,Democrat,Strong,-1.74901750196869,31,0.43819279375558,-0.448543307851779,63,0,9,64,Control,3,-1,Sometimes,NA,NA,NA,NA,NA,NA,NA,0.246604311721173,0.345403508156576,0.345403508156576,0.246604311721173,0.2960039099388745,-0.098799196435403,4.7675466681908,Republican,0.807257093008461,0.293190368150917,9,White,NA,,"Less than $10,000",NA,NA,NA,NA,"It was alright, not super fun but not a chore either.",,"Yes, I will",passed,passed,22,14,18,21,15,7,8,7,8,-1,392,0,4,4,0,100,96,96,100,5,2,4,Democrat,Republican
278,R_7P1Ns7UJemFl11D,P586,24/02/2026 20:44,608,57,Man,,City,City,,5,4-year college degree,Democrat,,NA,Democrat,Strong,0.73023780222315,90,0.33480595490345,0.0744274576028267,88,28,66,31,Control,2,-2,Rarely,NA,NA,NA,NA,NA,NA,NA,1.36476116525849,0.217234691961614,0.217234691961614,1.36476116525849,0.7909979286100519,1.147526473296876,3.66363151479951,Republican,0.772927045481122,0.293190368150917,9,White,NA,,"$60,000 to $69,999",NA,NA,NA,NA,I found it boring and uninspiring.,No feedback.,"Yes, I will",passed,passed,16,10,13,15,9,8,1,8,1,7,389,0,0,11,0,100,100,89,100,5,2,4,Democrat,Republican
